"","TITULO_PROJETO","","UF_PROPONENTE","SITUACAO_REGISTRO","CNPJ_PROPONENTE","RAZAO_SOCIAL_PROPONENTE","LEI_8313","ART1","ART1A","ART3","ART3A","ART39","FUNCINES","TOTAL_CAPTADO"
"","HENFIL DO BRASIL","","RJ","DEFERIDO","00.360.459/0001-04","DOCUMENTA PRODUCOES LTDA","0","0","0","0","300000","0","0","300000"
"","SANTO AMARO ERA SKATISTA","","RJ","DEFERIDO","00.360.459/0001-04","DOCUMENTA PRODUCOES LTDA","0","0","0","0","200000","0","0","200000"
"","","","RJ","DEFERIDO","00.360.459/0001-04","DOCUMENTA PRODUCOES LTDA","0","0","0","0","300000","0","0","300000"
"","","","RJ","DEFERIDO","00.360.459/0001-04","DOCUMENTA PRODUCOES LTDA","0","100000","0","0","350000","0","0","450000"
"","Aventuras de Pedro Rita e Bentinho (As)","","RJ","DEFERIDO","00.360.459/0001-04","DOCUMENTA PRODUCOES LTDA","0","56715","0","0","0","0","0","56715"
"","","","RJ","DEFERIDO","00.360.459/0001-04","DOCUMENTA PRODUCOES LTDA","0","100000","0","0","200000","0","0","300000"
"","","","SP","DEFERIDO","00.445.787/0001-03","","0","0","388000","0","0","0","0","388000"
"","","","PR","DEFERIDO","00.487.854/0001-44","SIRINO E SILVESTRE LTDA-ME","184730,5","169000","0","0","0","0","0","353730,5"
"","TRAVESSIAS","","PR","DEFERIDO","00.487.854/0001-44","SIRINO E SILVESTRE LTDA-ME","0","0","525191,56","0","0","0","0","525191,56"
"","Curitiba Zero Grau","","PR","DEFERIDO","00.487.854/0001-44","SIRINO E SILVESTRE LTDA-ME","0","0","445000","0","0","0","0","445000"
"","","","PR","DEFERIDO","00.508.766/0001-81","","0","0","301302,45","0","80000","0","0","381302,45"
"","","","PR","DEFERIDO","00.508.766/0001-81","","0","0","86480,2","0","0","0","0","86480,2"
"","","","RJ","DEFERIDO","00.538.914/0001-00","FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI","0","400000","0","0","0","0","0","400000"
"","","","RJ","DEFERIDO","00.538.914/0001-00","FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI","0","600000","1000000","1060000","1840000","0","0","4500000"
"","Virando Bicho","","RJ","DEFERIDO","00.538.914/0001-00","FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI","0","548000","47000","0","0","0","0","595000"
"","","","RJ","DEFERIDO","00.538.914/0001-00","FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI","0","380000","0","0","150000","0","0","530000"
"","","","RJ","DEFERIDO","00.538.914/0001-00","FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI","0","572307","0","0","0","0","0","572307"
"","Contos no Cinema  Duas Vezes Com Helena","","RJ","DEFERIDO","00.538.914/0001-00","FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI","432000","331475","0","0","0","0","0","763475"
"","CONTOS NO CINEMA - O ENFERMEIRO","","RJ","DEFERIDO","00.538.914/0001-00","FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI","0","550018","0","0","0","0","0","550018"
"","","","RJ","DEFERIDO","00.538.914/0001-00","FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI","0","0","0","0","1792340","0","0","1792340"
"","Um Craque Chamado Divino ","","SC","DEFERIDO","00.563.081/0001-38","ADALBERTO PENNA PRODUCOES CINEMATOGRAFICAS - ME","760000","0","0","0","0","0","0","760000"
"","DOCE DE COCO","","SC","DEFERIDO","00.563.081/0001-38","ADALBERTO PENNA PRODUCOES CINEMATOGRAFICAS - ME","0","0","100000","0","0","0","0","100000"
"","Das Profundezas","","SC","DEFERIDO","00.563.081/0001-38","ADALBERTO PENNA PRODUCOES CINEMATOGRAFICAS - ME","0","0","67424,31","0","0","0","0","67424,31"
"","","","SP","IRREGULAR","00.567.440/0001-25","VIRA LATA FILMES LTDA","0","0","0","167854,01","0","0","0","167854,01"
"","","","PR","IRREGULAR","00.568.159/0001-07","","120000","1407600","0","0","0","0","0","1527600"
"","Querido Estranho (Ex- Intensa Magia)","","SP","DEFERIDO","00.605.488/0001-80","","0","1091489","0","453152,85","0","0","0","1544641,85"
"","DORES & AMORES (EX - DORES, AMORES & ASSEMELHADOS)","","SP","DEFERIDO","00.605.488/0001-80","","0","300000","1040000","0","0","0","0","1340000"
"","Concerto Campestre","","RS","DEFERIDO","00.613.962/0001-16","EMPRESA CINEMATOGRAFICA PAMPEANA EIRELI","0","2364000","0","400000","0","0","0","2764000"
"","Lua de Outubro","","RS","DEFERIDO","00.613.962/0001-16","EMPRESA CINEMATOGRAFICA PAMPEANA EIRELI","341927,3007","1513598,26","0","0","0","0","0","1855525,561"
"","AO SUL DE SETEMBRO","","MT","DEFERIDO","00.614.991/0001-00","","599564,75","0","0","0","0","0","0","599564,75"
"","","","SP","DEFERIDO","00.623.018/0001-40","","0","0","150000","0","0","0","0","150000"
"","","","SP","DEFERIDO","00.623.018/0001-40","","0","0","200000","0","0","0","0","200000"
